사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
202102,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,58,16,83,3,259,9,141,2,89,4,138,14,193,13,170,19,235,18,285,25,466,13,537,41,583,109,255,90,221,100,242,87,218,83,94,74,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,119,7,893,21,1334,11,844,10,395,12,406,17,368,14,191,12,134,9,71,15,51,6,34,5,29,1,28,0,18,0,18,0,3,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,26,5,179,0,468,10,612,14,267,2,136,5,101,4,126,2,74,2,78,3,34,2,25,1,12,1,18,0,15,21,14,44,18,10,1,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,101,1,445,3,601,9,482,12,237,7,206,7,215,6,158,11,91,8,63,11,43,6,28,3,22,0,12,0,8,1,9,0,1,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,89,2,160,2,238,14,225,5,125,6,128,8,132,10,133,15,151,9,183,15,360,29,361,41,385,53,187,37,101,14,118,21,105,13,32,20,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관,0,0,0,0,0,0,0,0,0,0,0,0,86,5,201,16,345,33,465,11,391,16,527,12,587,40,524,24,483,21,595,47,798,56,1131,67,1041,114,474,104,201,57,193,63,154,67,55,52,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관,0,0,0,0,0,0,0,0,0,0,0,0,58,2,284,6,513,27,547,36,568,6,711,8,816,18,672,15,561,16,599,37,719,39,791,34,720,120,426,106,246,70,254,56,215,96,85,57,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,0,0,0,0,0,0,0,0,0,0,16,0,5,0,168,161,0,0,0,0,0,0,92,49,95,41,74,54,46,64,44,87,25,113,39,148,19,157,7,212,7,167,15,177,9,91,2,29,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,0,0,0,0,0,0,0,0,0,0,0,0,181,31,248,5,412,23,258,10,156,6,140,14,212,24,177,22,180,21,164,37,127,52,109,69,82,97,43,44,27,41,25,45,7,33,4,12,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,97,5,233,5,375,12,202,8,190,1,242,9,272,15,258,15,269,16,308,15,307,20,517,28,440,34,135,13,160,17,60,14,63,10,24,5,20210303
