사용년월,노선ID,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자,교통수단타입코드,교통수단타입명,"?""사용년월"""
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구,121,11,0,0,0,0,0,0,0,0,28,10,332,69,302,23,1602,70,1426,52,819,55,571,43,527,56,458,70,486,60,301,45,308,79,247,82,290,140,319,194,304,86,350,82,501,163,414,54,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교,19,13,0,0,0,0,0,0,0,0,0,0,45,41,103,46,626,135,685,153,444,67,307,57,339,70,296,72,272,88,174,84,117,107,128,148,138,176,163,206,185,100,139,87,144,94,98,66,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,49,0,0,0,0,0,0,0,0,2,0,86,965,216,1331,1197,3614,1193,2682,838,1845,38,491,10,779,12,398,10,464,15,371,2,393,16,448,6,526,4,565,1,455,5,422,2,452,0,273,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,기숙사신관,0,0,0,0,0,0,0,0,0,0,0,0,204,3,524,17,684,139,823,42,636,17,725,32,1022,36,874,40,692,31,777,41,811,36,1056,70,997,73,631,67,367,70,393,47,327,74,213,53,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,82,4,483,7,446,11,256,6,146,8,129,18,89,19,107,53,28,23,37,55,23,78,27,74,18,24,13,4,10,0,5,0,4,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,1,33,3,37,6,69,8,150,10,145,5,139,12,151,13,292,63,414,16,1556,29,1919,25,777,14,510,8,617,6,516,8,386,6,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,3,44,3,438,16,946,27,835,15,476,9,192,10,171,8,155,11,130,6,81,7,47,33,56,5,36,7,55,0,29,2,23,0,17,0,6,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,3,2,12,1,19,2,37,1,53,0,61,2,86,13,133,19,267,3,454,5,322,2,116,3,73,5,63,0,83,0,48,0,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,9,0,42,126,38,304,74,1384,179,3149,217,3421,454,1575,544,1104,652,1088,1142,825,1511,619,1529,410,2976,267,3908,295,1758,190,1431,128,1290,99,1116,55,842,51,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소,0,0,0,0,0,0,0,0,0,0,2,1,5,31,0,130,4,873,8,1197,17,788,9,352,4,321,14,308,7,267,12,172,15,98,24,90,9,162,0,83,4,30,0,27,0,17,0,10,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,0,0,0,0,0,0,0,0,0,0,5,1,162,27,559,12,823,14,503,17,261,25,225,15,235,36,216,42,182,38,191,45,146,56,144,132,150,264,87,110,72,69,26,82,17,66,8,108,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,159,88,0,0,0,0,0,0,0,0,23,9,959,1037,2227,2172,7565,3827,6493,3716,3123,2863,2426,3231,2162,4375,1517,4311,2256,4402,1752,5964,1626,6878,2116,9788,2184,12331,1668,5884,1124,3629,963,3577,916,2946,1358,2281,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,99,14,48,32,150,50,230,65,285,63,597,39,532,14,697,32,1104,50,1415,53,1898,45,3591,55,3956,91,1722,33,1564,39,1548,40,1700,28,1080,15,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,9,7,53,6,48,7,59,2,59,11,65,8,51,10,56,7,53,14,69,4,138,4,177,9,117,7,86,6,125,1,167,2,140,20180203,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,52,3,172,14,415,10,347,27,232,31,210,32,309,28,229,23,282,38,361,35,458,38,520,74,640,42,324,33,197,22,195,20,169,17,92,13,20180303,,,
