사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자
202302,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00008),0,3,0,0,0,0,0,0,0,0,54,1,4,0,64,61,0,0,0,0,2,0,104,41,99,86,67,61,54,75,46,128,46,176,21,213,15,250,20,245,18,209,3,177,11,164,4,154,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관(00034),0,0,0,0,0,0,0,0,0,0,0,0,43,0,71,6,94,7,96,4,93,7,77,3,80,5,79,7,73,1,100,6,140,8,181,11,225,3,66,5,97,8,48,4,12,2,8,1,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관(00032),0,0,0,0,0,0,0,0,0,0,0,0,116,4,215,16,252,22,245,9,243,6,237,5,310,8,281,17,354,13,357,13,349,16,504,30,664,13,216,11,200,36,164,16,42,13,15,6,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트(00034),0,0,0,0,0,0,0,0,0,0,0,0,10,9,100,18,105,29,87,40,45,18,36,39,35,45,35,42,46,47,34,49,35,55,38,113,32,185,17,82,28,49,16,40,12,57,1,41,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트(00036),0,0,0,0,0,0,0,0,0,0,0,0,6,2,31,3,27,4,19,10,13,14,10,13,5,15,17,23,13,23,10,29,15,38,14,66,7,94,7,42,10,11,8,17,4,24,2,17,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구(00038),0,0,0,0,0,0,0,0,0,0,0,0,1,28,9,20,4,57,12,62,5,82,2,163,5,264,1,233,2,167,4,188,5,289,2,652,2,830,3,358,6,221,2,124,1,88,3,54,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구(00036),0,0,0,0,0,0,0,0,0,0,0,0,2,91,21,121,13,159,35,206,13,215,10,383,14,478,12,488,5,473,10,480,6,606,7,1391,10,1914,12,739,12,408,2,325,1,275,1,122,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00037),0,0,0,0,0,0,0,0,0,0,0,0,376,622,1138,1460,3576,2368,3461,2330,2412,2129,1740,2142,1467,2699,1458,2495,1221,2823,1210,3115,1491,4157,1277,6076,1514,6759,1430,3037,1251,2036,1392,1776,1220,1334,998,751,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00001),0,0,0,0,0,0,0,0,0,0,554,137,1493,246,2186,13,5105,9,5025,14,3559,13,2815,23,3263,32,2624,19,2074,38,2004,32,1819,80,1934,61,2157,48,2287,31,1811,17,2048,9,2634,12,1681,7,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00039),0,0,0,0,0,0,0,0,0,0,0,0,133,170,440,394,1544,751,1339,690,759,752,607,784,447,991,586,917,695,984,517,1132,488,1616,520,2255,473,2288,282,1028,441,797,473,607,375,543,261,267,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트(00004),0,0,0,0,0,0,0,0,0,0,0,0,2,48,57,135,198,196,194,91,102,74,94,82,81,82,90,81,41,87,51,91,48,137,33,109,28,182,33,239,16,87,13,71,11,78,10,48,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.관악복합평생교육센터(00005),0,1,0,0,0,0,0,0,0,0,0,0,6,29,44,37,57,154,80,44,51,68,38,72,36,97,42,92,28,71,28,95,31,103,50,73,38,76,25,59,13,34,25,15,19,12,4,12,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관(00006),0,1,0,0,0,0,0,0,0,0,0,0,1,51,0,151,3,190,21,80,3,120,3,107,1,121,1,95,3,75,0,86,7,110,14,98,5,84,1,88,1,49,4,67,2,77,3,41,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,교수아파트(00009),0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2,0,1,2,90,61,86,92,64,87,52,121,66,104,32,105,31,87,35,112,19,119,15,98,11,70,7,84,2,52,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동(00010),0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,55,234,59,445,81,334,84,333,65,274,38,362,46,312,102,405,15,402,8,337,27,314,6,294,2,232,30,서울마을버스,20230303
