사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자,"?""사용년월"""
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00008),0,5,0,0,0,0,0,0,0,0,74,0,2,0,62,62,0,0,0,0,0,1,89,46,124,72,143,83,75,133,80,139,61,182,43,225,53,293,16,232,28,212,12,134,13,146,2,108,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00033),0,0,0,0,0,0,0,0,0,0,0,0,52,1,128,3,183,4,89,2,52,2,49,9,28,6,47,10,45,11,21,17,23,15,25,26,23,30,8,19,5,16,11,24,2,20,3,9,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관(00032),0,0,0,0,0,0,0,0,0,0,0,0,192,3,281,8,666,30,251,14,246,5,236,8,319,8,265,12,282,26,356,32,512,30,588,46,630,34,298,3,288,19,138,32,72,17,27,8,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관(00034),0,0,0,0,0,0,0,0,0,0,0,0,48,2,70,3,189,5,114,6,91,2,72,1,97,3,104,5,85,2,121,5,145,8,218,13,166,8,84,2,46,5,27,10,20,6,12,2,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트(00036),0,0,0,0,0,0,0,0,0,0,0,0,10,2,30,7,26,30,19,11,15,8,13,13,10,22,10,42,16,13,5,26,7,42,6,62,2,61,1,32,6,15,4,24,6,30,0,22,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트(00034),0,0,0,0,0,0,0,0,0,0,0,0,19,4,109,26,99,158,55,27,40,36,55,56,45,102,21,57,53,73,30,77,36,122,38,229,26,215,9,135,26,124,26,100,19,71,3,86,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구(00036),0,0,0,0,0,0,0,0,0,0,0,0,1,113,33,106,27,238,21,256,17,275,13,557,15,839,10,792,9,786,10,907,14,1133,16,2325,13,2622,6,1450,11,854,5,861,5,548,3,255,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구(00038),0,0,0,0,0,0,0,0,0,0,0,0,1,30,8,25,10,54,4,84,5,101,9,166,1,229,2,232,1,228,3,307,4,385,1,698,1,787,3,407,4,197,2,209,2,191,0,84,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00001),0,0,0,0,0,0,2,2,0,0,670,222,1642,236,2917,26,7872,56,8635,15,6700,21,3817,12,4984,62,4937,23,3150,19,2552,39,2798,30,2801,42,2890,53,2713,42,2548,33,3290,29,4302,15,2948,7,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00037),0,0,0,0,0,0,0,0,0,0,0,0,605,680,1149,1530,3823,2494,4264,2264,3215,2231,2032,2527,2373,3443,2335,3164,1586,3771,1532,5196,1488,6218,1627,8947,1732,8650,1562,4046,1331,2902,1608,2751,1446,2070,944,1240,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역(00039),0,0,0,0,0,0,0,0,0,0,0,0,224,207,273,441,1293,754,1430,725,1274,720,600,779,712,1036,938,1016,653,1169,442,1707,359,1941,478,2767,472,2735,491,1196,313,904,563,838,627,600,404,356,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트(00004),0,0,0,0,0,0,0,0,0,0,0,0,33,45,96,156,228,195,253,125,149,94,133,107,185,87,166,81,106,95,59,131,53,126,66,163,43,202,25,207,28,70,21,69,11,40,6,37,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.관악복합평생교육센터(00005),1,0,0,0,0,0,0,0,0,0,0,0,11,35,17,37,22,83,25,43,34,52,25,47,31,52,43,75,19,59,12,79,55,95,63,63,25,56,16,44,12,18,9,19,4,7,2,4,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.영어마을(00005),0,2,0,0,0,0,0,0,0,0,0,0,12,39,22,36,26,74,22,47,48,66,36,65,26,73,41,75,18,46,19,78,32,86,78,65,25,61,26,41,8,23,9,13,10,7,8,8,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관(00006),0,2,0,0,0,0,0,0,0,0,0,0,4,63,4,109,6,141,13,106,7,160,6,96,12,150,9,141,17,129,12,106,6,181,12,218,10,97,7,100,15,72,4,81,3,96,3,44,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,교수아파트(00009),0,2,0,0,0,0,0,0,0,0,0,0,39,0,2,0,2,0,0,0,1,0,71,76,84,148,119,83,96,134,77,144,43,127,52,112,33,164,20,117,19,81,17,98,7,109,2,59,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동(00010),0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,1,0,3,68,205,101,489,112,335,97,500,93,278,76,365,39,429,121,397,36,393,15,290,58,358,15,321,6,236,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원(00011),0,52,0,0,0,0,0,0,0,0,0,0,0,42,2,50,6,54,3,27,27,56,320,364,609,721,608,534,311,680,432,462,288,498,271,597,354,688,142,808,81,812,81,1166,71,1339,26,1286,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,학부생활관(00012),0,123,0,0,0,0,0,0,0,0,0,0,29,300,34,270,107,440,351,405,272,376,99,356,178,496,219,568,89,530,318,584,88,592,71,745,129,872,37,1118,25,1273,20,1928,24,2531,11,2562,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,대학원생활관(00013),0,141,0,0,0,0,0,0,0,0,0,0,10,290,77,343,39,1023,86,1441,77,1077,42,787,79,1056,106,1086,51,750,60,753,35,705,19,887,47,1054,33,1155,21,1172,30,1482,11,1787,1,1705,30.0,서울마을버스,20221203,
